Response,Group_By,Group_Levels,N,Mean,SD,SE,Min,Max
Solubilitas,Formulation,L,6,0.4343523128086952,0.1285014369805036,0.0524604919694404,0.3157894736842111,0.5543478260869573
Solubilitas,Formulation x Plasticizer,B_Gliserol,3,0.6865338270734135,0.0037159733425176,0.002145418209604,0.6822429906542054,0.6886792452830196
Solubilitas,Formulation x Plasticizer,B_Sorbitol,3,0.6242240834364611,0.0095651630792823,0.0055224494786663,0.617283950617285,0.6351351351351363
Solubilitas,Formulation x Plasticizer,C_Gliserol,3,0.5739956532455016,0.0049913876440366,0.0028817789999143,0.5689655172413809,0.5789473684210523
Solubilitas,Formulation x Plasticizer,C_Sorbitol,3,0.595946712018141,0.0071186895435808,0.0041099773242638,0.5918367346938772,0.6041666666666686
Solubilitas,Formulation x Plasticizer,D_Gliserol,3,0.5333295318469521,0.0062877262757,0.0036302204578661,0.5263157894736837,0.5384615384615409
Solubilitas,Formulation x Plasticizer,D_Sorbitol,3,0.3753679437876849,0.005812757070378,0.0033559968593166,0.3697478991596642,0.3813559322033902
Solubilitas,Formulation x Plasticizer,F_Gliserol,3,0.6476273349576526,0.004601921741888,0.0026569207564686,0.6449704142011832,0.6529411764705899
Solubilitas,Formulation x Plasticizer,G_Gliserol,3,0.5537551440329214,0.0097702777331406,0.0056408724792861,0.5432098765432081,0.562500000000001
Solubilitas,Formulation x Plasticizer,G_Sorbitol,3,0.5240510697032438,0.0042761685098226,0.0024688470402463,0.5214285714285702,0.5289855072463773
Solubilitas,Formulation x Plasticizer,H_Gliserol,3,0.5218234428760754,0.0072045139367976,0.0041595280607905,0.513513513513516,0.5263157894736837
Solubilitas,Formulation x Plasticizer,H_Sorbitol,3,0.3342013888888885,0.0015035163260151,0.0008680555555558,0.3333333333333327,0.3359375000000003
Solubilitas,Formulation x Plasticizer,J_Gliserol,3,0.6642962794402097,0.0010346190396787,0.0005973375810672,0.6631016042780752,0.6648936170212769
Solubilitas,Formulation x Plasticizer,J_Sorbitol,3,0.401298930023281,0.0071833290740085,0.0041472969745565,0.3933333333333327,0.4072847682119203
Solubilitas,Formulation x Plasticizer,K_Gliserol,3,0.5074056572270343,0.0037259563947915,0.0021511819275217,0.5031055900621114,0.5096774193548411
Solubilitas,Formulation x Plasticizer,K_Sorbitol,3,0.3411028192371474,0.003479416941422,0.0020088423077529,0.3383084577114428,0.345
Solubilitas,Formulation x Plasticizer,L_Gliserol,3,0.551635912167098,0.0037407070139962,0.0021596982014902,0.5473684210526347,0.5543478260869573
Solubilitas,Formulation x Plasticizer,L_Sorbitol,3,0.3170687134502926,0.0011078541349578,0.0006396198830407,0.3157894736842111,0.3177083333333333
Solubilitas,CMC x PVA x Plasticizer,1_1_Gliserol,3,0.6865338270734135,0.0037159733425176,0.002145418209604,0.6822429906542054,0.6886792452830196
Solubilitas,CMC x PVA x Plasticizer,1_1_Sorbitol,3,0.6242240834364611,0.0095651630792823,0.0055224494786663,0.617283950617285,0.6351351351351363
Solubilitas,CMC x PVA x Plasticizer,1_2_Gliserol,3,0.5739956532455016,0.0049913876440366,0.0028817789999143,0.5689655172413809,0.5789473684210523
Solubilitas,CMC x PVA x Plasticizer,1_2_Sorbitol,3,0.595946712018141,0.0071186895435808,0.0041099773242638,0.5918367346938772,0.6041666666666686
Solubilitas,CMC x PVA x Plasticizer,1_3_Gliserol,3,0.5333295318469521,0.0062877262757,0.0036302204578661,0.5263157894736837,0.5384615384615409
Solubilitas,CMC x PVA x Plasticizer,1_3_Sorbitol,3,0.3753679437876849,0.005812757070378,0.0033559968593166,0.3697478991596642,0.3813559322033902
Solubilitas,CMC x PVA x Plasticizer,2_1_Gliserol,3,0.6476273349576526,0.004601921741888,0.0026569207564686,0.6449704142011832,0.6529411764705899
Solubilitas,CMC x PVA x Plasticizer,2_2_Gliserol,3,0.5537551440329214,0.0097702777331406,0.0056408724792861,0.5432098765432081,0.562500000000001
Solubilitas,CMC x PVA x Plasticizer,2_2_Sorbitol,3,0.5240510697032438,0.0042761685098226,0.0024688470402463,0.5214285714285702,0.5289855072463773
Solubilitas,CMC x PVA x Plasticizer,2_3_Gliserol,3,0.5218234428760754,0.0072045139367976,0.0041595280607905,0.513513513513516,0.5263157894736837
Solubilitas,CMC x PVA x Plasticizer,2_3_Sorbitol,3,0.3342013888888885,0.0015035163260151,0.0008680555555558,0.3333333333333327,0.3359375000000003
Solubilitas,CMC x PVA x Plasticizer,3_1_Gliserol,3,0.6642962794402097,0.0010346190396787,0.0005973375810672,0.6631016042780752,0.6648936170212769
Solubilitas,CMC x PVA x Plasticizer,3_1_Sorbitol,3,0.401298930023281,0.0071833290740085,0.0041472969745565,0.3933333333333327,0.4072847682119203
Solubilitas,CMC x PVA x Plasticizer,3_2_Gliserol,3,0.5074056572270343,0.0037259563947915,0.0021511819275217,0.5031055900621114,0.5096774193548411
Solubilitas,CMC x PVA x Plasticizer,3_2_Sorbitol,3,0.3411028192371474,0.003479416941422,0.0020088423077529,0.3383084577114428,0.345
Solubilitas,CMC x PVA x Plasticizer,3_3_Gliserol,3,0.551635912167098,0.0037407070139962,0.0021596982014902,0.5473684210526347,0.5543478260869573
Solubilitas,CMC x PVA x Plasticizer,3_3_Sorbitol,3,0.3170687134502926,0.0011078541349578,0.0006396198830407,0.3157894736842111,0.3177083333333333
Opasitas,CMC,1,18,1.4603239566452946,0.2761331248225246,0.0650852016907461,0.9333333333333336,1.8333333333333337
Opasitas,CMC,2,15,1.9175642466734415,0.0756290063027741,0.0195273254600573,1.8163265306122447,2.057142857142857
Opasitas,CMC,3,18,2.382643732448336,0.1600988975136099,0.0377356720307879,2.128571428571428,2.638888888888889
Opasitas,PVA,1,15,1.8176016759237117,0.3658763640568138,0.0944688709841974,1.3125,2.301369863013699
Opasitas,PVA,2,18,1.950421788114929,0.3462716297619445,0.0816170058457294,1.5047619047619047,2.4494949494949494
Opasitas,PVA,3,18,1.975848043270143,0.5597121312427146,0.1319254145046994,0.9333333333333336,2.638888888888889
Opasitas,Plasticizer,Gliserol,27,1.8770099683401489,0.509822077523678,0.0981153045657032,0.9333333333333336,2.638888888888889
Opasitas,Plasticizer,Sorbitol,24,1.969067206608457,0.3363954705338274,0.0686664378826109,1.469879518072289,2.5473684210526315
Opasitas,Formulation,B,6,1.4240712851405624,0.0824056162145533,0.0336419519442126,1.3125,1.5180722891566265
Opasitas,Formulation,C,6,1.5776942355889725,0.0625012609718211,0.0255160329435817,1.5047619047619047,1.6578947368421053
Opasitas,Formulation,D,6,1.379206349206349,0.4717489692061763,0.192590710206511,0.9333333333333336,1.8333333333333337
